name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
G.Skill Trident Z RGB 16 GB,42.99,"4,3200","2,8",2.687,Black,10,16
Corsair Dominator Platinum RGB 32 GB,156.99,"5,6200","2,16",4.906,Black,11.613,36
Patriot Viper Venom 32 GB,79.98,"5,6000","1,32",2.499,Black / White,10,30
Corsair Vengeance LPX 16 GB,36.99,"4,3200","2,8",2.312,Black,10,16
Crucial Pro 96 GB,209.99,"5,5600","2,48",2.187,Black,16.429,46
Corsair Dominator Titanium 64 GB,329.99,"5,6400","4,16",5.156,Black,10,32
Patriot Viper Steel 32 GB,41.99,"4,3200","2,16",1.312,Silver / Black,10,16
Timetec PINNACLE Konduit 32 GB,43.99,"4,3200","2,16",1.375,Black,10,16
Silicon Power XPOWER Zenith RGB Gaming 32 GB,94.97,"5,6000","2,16",2.968,Black,10,30
Corsair Vengeance RGB Pro 64 GB,169.99,"4,3600","4,16",2.656,Black,10,18
Corsair Vengeance RGB Pro 32 GB,108.99,"4,3200","4,8",3.406,Black,10,16
Corsair Dominator Titanium 96 GB,389.99,"5,7000","2,48",4.062,Black,11.429,40
Kingston FURY Beast 64 GB,199.51,"5,6000","2,32",3.117,White,10,30
Crucial CT16G48C40U5 16 GB,39.99,"5,4800","1,16",2.499,Black,16.667,40
ADATA XPG SPECTRIX D35G RGB 16 GB,45.71,"4,3200","2,8",2.857,Black,10,16
G.Skill Flare X5 16 GB,,"5,5600","1,16",,Black,12.857,36
Silicon Power XPOWER Pulse Gaming 32 GB,85.97,"5,6400","2,16",2.687,Black,10,32
Corsair Vengeance RGB 32 GB,114.99,"5,6400","2,16",3.593,Black / Gray,10,32
Kingston FURY Beast RGB 32 GB,90.17,"4,3600","2,16",2.818,Black,10,18
G.Skill Ripjaws S5 64 GB,194.99,"5,6400","2,32",3.047,Black,10,32
Corsair Vengeance 32 GB,,"5,5600","2,16",,Black,12.857,36
TEAMGROUP T-Force Delta RGB 64 GB,163.99,"5,6000","2,32",2.562,Black,12.667,38
G.Skill Trident Z5 Neo RGB 64 GB,213.99,"5,6000","2,32",3.344,Silver / Black,10,30
Silicon Power XPOWER Pulse Gaming 32 GB,77.98,"5,6000","2,16",2.437,Black,12,36
ADATA XPG CASTER RGB 32 GB,533.82,"5,6400","2,16",16.682,Black / Silver,12.5,40
Silicon Power XPOWER Pulse Gaming 32 GB,84.99,"5,6000","2,16",2.656,Black / White,10,30
G.Skill Trident Z RGB 128 GB,239.99,"4,3600","4,32",1.875,Black,10,18
G.Skill Ripjaws M5 RGB 32 GB,104.99,"5,6000","2,16",3.281,White,10,30
G.Skill Trident Z RGB 32 GB,69.98,"4,4000","2,16",2.187,Black,9,18
G.Skill Flare X5 32 GB,94.99,"5,6000","2,16",2.968,Black,10.667,32
Corsair Vengeance LPX 16 GB,39.99,"4,3200","2,8",2.499,White,10,16
G.Skill Trident Z RGB 32 GB,84.99,"4,4400","2,16",2.656,Black,8.636,19
TEAMGROUP Elite 32 GB,70.98,"5,4800","2,16",2.218,Black,16.667,40
TEAMGROUP T-Create Expert 32 GB,105.99,"5,7200","2,16",3.312,Black,9.444,34
G.Skill Ripjaws S5 64 GB,240.48,"5,6000","2,32",3.757,White,10,30
