name,price,tracking_method,connection_type,max_dpi,hand_orientation,color
HP HyperX Pulsefire Haste 2 Mini,59.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Pwnage Stormbreaker,,Optical,"Wired, Wireless",26000,Right,Black
Logitech G305 LIGHTSPEED,,Optical,"Wired, Wireless",12000,Right,White / Black
SteelSeries Rival 710,,Optical,Wired,16000,Right,Black
Endgame Gear OP1we,89.99,Optical,"Wired, Wireless",19000,Right,Black
Endgame Gear OP1,54.99,Optical,Wired,26000,Right,Black
Endgame Gear XM2w 4k,,Optical,"Wired, Wireless",26000,Right,White
Cherry JM-0300,15.99,Optical,Wired,1000,Both,Black
Corsair Harpoon RGB,,Optical,Wired,6000,Right,Black
Rude Gamewear Fierce,18.98,Laser,Wired,5000,Both,Black
Razer Basilisk,88,Optical,Wired,16000,Right,Black / Green
Logitech G Pro X Superlight,,Optical,Wireless,25400,Right,Red
Razer Viper Ultimate,99.99,Optical,Wireless,20000,Both,White / Gray
Pulsar X3,,Optical,"Wired, Wireless",32000,Right,White
DLAND Zelotes T90,,Optical,Wired,9200,Right,Black
DeLUX M800 Ultra,59.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Pink
Logitech G PRO Hero,69.98,Optical,Wired,25600,Right,Black
Logitech G203 Lightsync,25.95,Optical,Wired,8000,Right,Blue
Keychron M3 Mini,54.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,White
Dell Alienware AW610M,58.48,Optical,Wired,16000,Right,White / Black
Redragon M990,,Laser,Wired,24000,Right,Black
MSI CLUTCH GM30,,Optical,Wired,6200,Right,Black
Gigabyte AORUS M6,,Optical,"Wired, Wireless",26000,Both,Black
Anker AK-98ANWVM-UBA,25.99,Optical,Wireless,1600,Right,Black
Razer Naga Left-Handed Edition,99.99,Optical,Wired,20000,Left,Black
Razer Basilisk V3 Pro + Wireless Charging Puck,139.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black
Logitech LIFT,59.99,Optical,"Wireless, Bluetooth Wireless",4000,Right,Pink
Logitech G Pro,145.56,Optical,Wired,12000,Right,Black
EVGA X17,24.7,Optical,Wired,16000,Right,Gray / Black
MSI CLUTCH GM31,39.99,Optical,"Wired, Wireless",12000,Right,Black
