name,price,capacity,price_per_gb,type,cache,form_factor,interface
Crucial P3,59.22,1000,0.059,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power UD90,52.99,1000,0.053,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial T700,209.99,2000,0.105,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Kingston KC3000,148.75,2048,0.073,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power P34A60,30.97,512,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung 870 Evo,289.26,4000,0.072,SSD,4096,2.5,SATA 6.0 Gb/s
Western Digital Blue SN580,113.99,2000,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 QVO,543.6,8000,0.068,SSD,,2.5,SATA 6.0 Gb/s
Seagate Barracuda Compute,129.99,8000,0.016,5400,256,3.5,SATA 6.0 Gb/s
Toshiba MK3276GSX,9.89,320,0.031,5400,8,2.5,SATA 3.0 Gb/s
Crucial T700,426.99,4000,0.107,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Crucial T705,264.99,2000,0.132,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Samsung 970 Evo Plus,174,2000,0.087,SSD,1024,M.2-2280,M.2 PCIe 3.0 X4
Kingston NV2,60.66,500,0.121,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 Evo,52.99,500,0.106,SSD,512,2.5,SATA 6.0 Gb/s
SK Hynix Platinum P41,141.99,2000,0.071,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Gold,499.99,24000,0.021,7200,512,3.5,SATA 6.0 Gb/s
Silicon Power UD90,194.99,4000,0.049,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial T500,145.12,2000,0.073,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980,99,1000,0.099,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Patriot P300,19.29,256,0.075,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Kingston A400,21.99,240,0.092,SSD,,2.5,SATA 6.0 Gb/s
Seagate BarraCuda,59.99,1000,0.06,7200,64,3.5,SATA 6.0 Gb/s
Acer Predator GM7000,132.99,2000,0.066,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM790,144.99,2000,0.072,SSD,,M.2-2280,M.2 PCIe 4.0 X4
MSI SPATIUM M482,149.99,2000,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro w/Heatsink,319,4000,0.08,SSD,4096,M.2-2280,M.2 PCIe 4.0 X4
Patriot P400 Lite,91.99,2000,0.046,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP33,35.99,512,0.07,SSD,,M.2-2280,M.2 PCIe 3.0 X4
