name,price,rpm,noise_level,color,size
ENDORFY Spartan 5,16.5,"250,1500",,Black / Silver,
Deepcool AK620,,"500,1850",28,White,
Noctua NH-L9a-AM4 chromax.black,54.95,"600,2500","14.8,23.6",Black,
NZXT Kraken Z63,254.99,"500,1800","21,38",Black,280
Thermalright Mjolnir Vision 360 ARGB,114.9,2150,27,Black,360
Thermalright Assassin X 90 SE ARGB,19.39,2200,23.85,Black / Silver,
be quiet! Pure Loop 2 FX,89.9,,"8,32.3",Black,240
Corsair A115,94.99,"400,1600","5,33.9",Black,
Noctua NH-D15S,99.95,"300,1500","19.2,24.6",,
Deepcool LE520,,"500,2250",32.9,Black,240
Asus ROG Ryujin III,329.99,"600,2200",36.45,White,360
Asus ROG STRIX LC II ARGB,,"800,2500",37.6,Black,360
Thermalright Peerless Assassin 90 SE,23.9,2200,23.85,Black / Silver,
MSI MEG CORELIQUID S360,,,22.7,Black,360
Noctua NH-D12L,89.95,"450,2000","18.8,22.6",Beige / Brown,
MSI MAG CORELIQUID P240,89.99,"500,2000","14.3,34.3",Black,240
Lian Li HydroShift LCD 360R RGB,,"300,2400",30,Black,360
NZXT Kraken 280,148.99,"500,1500","19.4,32.1",Black,280
Corsair iCUE H100i ELITE LCD XT,259,"550,2100","5,34.1",Black,240
Thermalright Frozen Warframe ARGB,81.09,2000,22.1,White,360
Thermalright AXP90-X36,21.9,2700,22.4,Gray,
TRYX PANORAMA,,"500,2250",30.97,Black,360
ENDORFY Spartan 5 MAX ARGB,24,"250,1500",,Black / Silver,
Thermalright AXP120-X67,32.9,1800,26.1,Black,
Thermaltake Contact 9 SE,16.98,"800,2000",24.5,Black / Silver,
Cooler Master Hyper 212 Pro,39.49,"690,2500",32.8,Black,
Cooler Master I30,12.99,2600,28,Black / Silver,
Thermaltake TH240 V2 ARGB Sync,79.98,"500,2000",25.8,Black,240
Thermalright Frozen Prism ARGB,47.9,1850,27,Black,240
